Date,CountOfPersons
2019-04-21 10:20:00,2
2019-04-21 10:25:00,0
2019-04-21 10:30:00,0
2019-04-21 10:35:00,0
2019-04-21 10:40:00,0
2019-04-21 10:45:00,0
2019-04-21 10:50:00,0
2019-04-21 10:55:00,0
2019-04-21 11:00:00,0
2019-04-21 11:05:00,0
2019-04-21 11:10:00,1
2019-04-21 11:15:00,0
2019-04-21 11:20:00,0
2019-04-21 11:25:00,0
2019-04-21 11:30:00,24
2019-04-21 11:35:00,22
2019-04-21 11:40:00,22
2019-04-21 11:45:00,28
2019-04-21 11:50:00,58
2019-04-21 11:55:00,48
2019-04-21 12:00:00,117
2019-04-21 12:05:00,104
2019-04-21 12:10:00,159
2019-04-21 12:15:00,223
2019-04-21 12:20:00,258
2019-04-21 12:25:00,314
2019-04-21 12:30:00,402
2019-04-21 12:35:00,418
2019-04-21 12:40:00,472
2019-04-21 12:45:00,512
2019-04-21 12:50:00,489
2019-04-21 12:55:00,531
2019-04-21 13:00:00,530
2019-04-21 13:05:00,433
2019-04-21 13:10:00,224
2019-04-21 13:15:00,124
2019-04-21 13:20:00,160
2019-04-21 13:25:00,54
2019-04-21 13:30:00,17
2019-04-21 13:35:00,33
2019-04-21 13:40:00,4
2019-04-21 13:45:00,4
2019-04-21 13:50:00,4
2019-04-21 13:55:00,2
2019-04-21 14:00:00,0
2019-04-21 14:05:00,0
2019-04-21 14:10:00,0
2019-04-21 14:15:00,0
2019-04-21 14:20:00,2
2019-04-21 14:25:00,0
2019-04-21 14:30:00,1
