Date,CountOfPersons
2019-01-30 09:55:00,1
2019-01-30 10:00:00,0
2019-01-30 10:05:00,0
2019-01-30 10:10:00,0
2019-01-30 10:15:00,0
2019-01-30 10:20:00,0
2019-01-30 10:25:00,0
2019-01-30 10:30:00,0
2019-01-30 10:35:00,0
2019-01-30 10:40:00,0
2019-01-30 10:45:00,0
2019-01-30 10:50:00,0
2019-01-30 10:55:00,0
2019-01-30 11:00:00,0
2019-01-30 11:05:00,0
2019-01-30 11:10:00,0
2019-01-30 11:15:00,0
2019-01-30 11:20:00,0
2019-01-30 11:25:00,0
2019-01-30 11:30:00,0
2019-01-30 11:35:00,0
2019-01-30 11:40:00,0
2019-01-30 11:45:00,0
2019-01-30 11:50:00,0
2019-01-30 11:55:00,0
2019-01-30 12:00:00,0
2019-01-30 12:05:00,0
2019-01-30 12:10:00,0
2019-01-30 12:15:00,0
2019-01-30 12:20:00,0
2019-01-30 12:25:00,0
2019-01-30 12:30:00,0
2019-01-30 12:35:00,0
2019-01-30 12:40:00,0
2019-01-30 12:45:00,1
2019-01-30 12:50:00,0
2019-01-30 12:55:00,4
2019-01-30 13:00:00,2
2019-01-30 13:05:00,0
2019-01-30 13:10:00,0
2019-01-30 13:15:00,0
2019-01-30 13:20:00,0
2019-01-30 13:25:00,0
2019-01-30 13:30:00,0
2019-01-30 13:35:00,0
2019-01-30 13:40:00,0
2019-01-30 13:45:00,0
2019-01-30 13:50:00,0
2019-01-30 13:55:00,2
2019-01-30 14:00:00,0
2019-01-30 14:05:00,1
2019-01-30 14:10:00,0
2019-01-30 14:15:00,1
2019-01-30 14:20:00,0
2019-01-30 14:25:00,0
2019-01-30 14:30:00,4
2019-01-30 14:35:00,3
2019-01-30 14:40:00,0
2019-01-30 14:45:00,0
2019-01-30 14:50:00,1
2019-01-30 14:55:00,0
2019-01-30 15:00:00,0
2019-01-30 15:05:00,0
2019-01-30 15:10:00,2
2019-01-30 15:15:00,4
2019-01-30 15:20:00,1
2019-01-30 15:25:00,2
2019-01-30 15:30:00,0
2019-01-30 15:35:00,0
2019-01-30 15:40:00,1
2019-01-30 15:45:00,0
2019-01-30 15:50:00,1
2019-01-30 15:55:00,0
2019-01-30 16:00:00,1
2019-01-30 16:05:00,0
2019-01-30 16:10:00,0
2019-01-30 16:15:00,0
2019-01-30 16:20:00,0
2019-01-30 16:25:00,0
2019-01-30 16:30:00,0
2019-01-30 16:35:00,0
2019-01-30 16:40:00,1
2019-01-30 16:45:00,9
2019-01-30 16:50:00,11
2019-01-30 16:55:00,10
2019-01-30 17:00:00,7
2019-01-30 17:05:00,6
2019-01-30 17:10:00,5
2019-01-30 17:15:00,6
2019-01-30 17:20:00,6
2019-01-30 17:25:00,11
2019-01-30 17:30:00,12
2019-01-30 17:35:00,13
2019-01-30 17:40:00,12
2019-01-30 17:45:00,10
2019-01-30 17:50:00,14
2019-01-30 17:55:00,14
2019-01-30 18:00:00,13
2019-01-30 18:05:00,12
2019-01-30 18:10:00,7
2019-01-30 18:15:00,1
2019-01-30 18:20:00,10
2019-01-30 18:25:00,1
2019-01-30 18:30:00,43
2019-01-30 18:35:00,276
2019-01-30 18:40:00,104
2019-01-30 18:45:00,109
2019-01-30 18:50:00,162
2019-01-30 18:55:00,174
2019-01-30 19:00:00,79
