Date,CountOfPersons
2019-09-22 07:20:00,2
2019-09-22 07:25:00,3
2019-09-22 07:30:00,0
2019-09-22 07:35:00,0
2019-09-22 07:40:00,0
2019-09-22 07:45:00,1
2019-09-22 07:50:00,0
2019-09-22 07:55:00,0
2019-09-22 08:00:00,1
2019-09-22 08:05:00,0
2019-09-22 08:10:00,0
2019-09-22 08:15:00,0
2019-09-22 08:20:00,0
2019-09-22 08:25:00,0
2019-09-22 08:30:00,0
2019-09-22 08:35:00,2
2019-09-22 08:40:00,0
2019-09-22 08:45:00,0
2019-09-22 08:50:00,0
2019-09-22 08:55:00,1
2019-09-22 09:00:00,13
2019-09-22 09:05:00,1
2019-09-22 09:10:00,0
2019-09-22 09:15:00,2
2019-09-22 09:20:00,0
2019-09-22 09:25:00,0
2019-09-22 09:30:00,1
2019-09-22 09:35:00,3
2019-09-22 09:40:00,4
2019-09-22 09:45:00,9
2019-09-22 09:50:00,4
2019-09-22 09:55:00,13
2019-09-22 10:00:00,16
2019-09-22 10:05:00,3
2019-09-22 10:10:00,6
2019-09-22 10:15:00,2
2019-09-22 10:20:00,7
2019-09-22 10:25:00,18
2019-09-22 10:30:00,17
2019-09-22 10:35:00,17
2019-09-22 10:40:00,14
2019-09-22 10:45:00,17
2019-09-22 10:50:00,15
2019-09-22 10:55:00,12
2019-09-22 11:00:00,18
2019-09-22 11:05:00,11
2019-09-22 11:10:00,3
2019-09-22 11:15:00,3
2019-09-22 11:20:00,2
2019-09-22 11:25:00,4
2019-09-22 11:30:00,342
2019-09-22 11:35:00,146
2019-09-22 11:40:00,134
2019-09-22 11:45:00,130
2019-09-22 11:50:00,153
2019-09-22 11:55:00,186
2019-09-22 12:00:00,176
2019-09-22 12:05:00,271
2019-09-22 12:10:00,318
2019-09-22 12:15:00,328
2019-09-22 12:20:00,441
2019-09-22 12:25:00,469
2019-09-22 12:30:00,605
2019-09-22 12:35:00,592
2019-09-22 12:40:00,629
2019-09-22 12:45:00,613
2019-09-22 12:50:00,618
2019-09-22 12:55:00,688
2019-09-22 13:00:00,556
2019-09-22 13:05:00,484
2019-09-22 13:10:00,360
2019-09-22 13:15:00,296
2019-09-22 13:20:00,207
2019-09-22 13:25:00,146
2019-09-22 13:30:00,29
2019-09-22 13:35:00,26
2019-09-22 13:40:00,11
2019-09-22 13:45:00,8
2019-09-22 13:50:00,12
2019-09-22 13:55:00,4
2019-09-22 14:00:00,2
2019-09-22 14:05:00,4
2019-09-22 14:10:00,3
2019-09-22 14:15:00,2
2019-09-22 14:20:00,3
2019-09-22 14:25:00,3
2019-09-22 14:30:00,0
2019-09-22 14:35:00,0
2019-09-22 14:40:00,1
