Date,CountOfPersons
2020-03-08 11:10:00,1
2020-03-08 11:15:00,0
2020-03-08 11:20:00,0
2020-03-08 11:25:00,0
2020-03-08 11:30:00,71
2020-03-08 11:35:00,39
2020-03-08 11:40:00,53
2020-03-08 11:45:00,49
2020-03-08 11:50:00,77
2020-03-08 11:55:00,78
2020-03-08 12:00:00,125
2020-03-08 12:05:00,158
2020-03-08 12:10:00,171
2020-03-08 12:15:00,256
2020-03-08 12:20:00,371
2020-03-08 12:25:00,406
2020-03-08 12:30:00,473
2020-03-08 12:35:00,453
2020-03-08 12:40:00,502
2020-03-08 12:45:00,529
2020-03-08 12:50:00,530
2020-03-08 12:55:00,495
2020-03-08 13:00:00,554
2020-03-08 13:05:00,533
2020-03-08 13:10:00,599
2020-03-08 13:15:00,568
2020-03-08 13:20:00,580
2020-03-08 13:25:00,239
2020-03-08 13:30:00,36
2020-03-08 13:35:00,9
2020-03-08 13:40:00,10
2020-03-08 13:45:00,4
2020-03-08 13:50:00,2
2020-03-08 13:55:00,2
2020-03-08 14:00:00,1
2020-03-08 14:05:00,1
2020-03-08 14:10:00,0
2020-03-08 14:15:00,0
2020-03-08 14:20:00,1
