Date,CountOfPersons
2019-08-18 10:25:00,2
2019-08-18 10:30:00,0
2019-08-18 10:35:00,0
2019-08-18 10:40:00,0
2019-08-18 10:45:00,0
2019-08-18 10:50:00,1
2019-08-18 10:55:00,0
2019-08-18 11:00:00,0
2019-08-18 11:05:00,0
2019-08-18 11:10:00,1
2019-08-18 11:15:00,0
2019-08-18 11:20:00,0
2019-08-18 11:25:00,0
2019-08-18 11:30:00,30
2019-08-18 11:35:00,12
2019-08-18 11:40:00,27
2019-08-18 11:45:00,18
2019-08-18 11:50:00,25
2019-08-18 11:55:00,68
2019-08-18 12:00:00,145
2019-08-18 12:05:00,181
2019-08-18 12:10:00,215
2019-08-18 12:15:00,311
2019-08-18 12:20:00,407
2019-08-18 12:25:00,464
2019-08-18 12:30:00,666
2019-08-18 12:35:00,857
2019-08-18 12:40:00,903
2019-08-18 12:45:00,925
2019-08-18 12:50:00,1001
2019-08-18 12:55:00,1118
2019-08-18 13:00:00,1019
2019-08-18 13:05:00,948
2019-08-18 13:10:00,634
2019-08-18 13:15:00,345
2019-08-18 13:20:00,289
2019-08-18 13:25:00,138
2019-08-18 13:30:00,70
2019-08-18 13:35:00,97
2019-08-18 13:40:00,40
2019-08-18 13:45:00,10
2019-08-18 13:50:00,15
2019-08-18 13:55:00,2
2019-08-18 14:00:00,6
2019-08-18 14:05:00,8
2019-08-18 14:10:00,2
2019-08-18 14:15:00,4
2019-08-18 14:20:00,4
2019-08-18 14:25:00,0
2019-08-18 14:30:00,2
