Date,CountOfPersons
2019-05-03 16:35:00,3
2019-05-03 16:40:00,11
2019-05-03 16:45:00,2
2019-05-03 16:50:00,12
2019-05-03 16:55:00,12
2019-05-03 17:00:00,16
2019-05-03 17:05:00,25
2019-05-03 17:10:00,147
2019-05-03 17:15:00,80
2019-05-03 17:20:00,70
2019-05-03 17:25:00,151
2019-05-03 17:30:00,90
2019-05-03 17:35:00,39
2019-05-03 17:40:00,90
2019-05-03 17:45:00,116
2019-05-03 17:50:00,85
2019-05-03 17:55:00,282
2019-05-03 18:00:00,121
2019-05-03 18:05:00,178
2019-05-03 18:10:00,106
2019-05-03 18:15:00,80
2019-05-03 18:20:00,63
2019-05-03 18:25:00,212
2019-05-03 18:30:00,15
2019-05-03 18:35:00,0
2019-05-03 18:40:00,1
2019-05-03 18:45:00,0
2019-05-03 18:50:00,0
2019-05-03 18:55:00,0
2019-05-03 19:00:00,1
2019-05-03 19:05:00,1
2019-05-03 19:10:00,1
