Date,CountOfPersons
2020-03-08 08:20:00,4
2020-03-08 08:25:00,15
2020-03-08 08:30:00,0
2020-03-08 08:35:00,1
2020-03-08 08:40:00,6
2020-03-08 08:45:00,1
2020-03-08 08:50:00,0
2020-03-08 08:55:00,0
2020-03-08 09:00:00,2
2020-03-08 09:05:00,0
2020-03-08 09:10:00,3
2020-03-08 09:15:00,1
2020-03-08 09:20:00,2
2020-03-08 09:25:00,0
2020-03-08 09:30:00,0
2020-03-08 09:35:00,3
2020-03-08 09:40:00,5
2020-03-08 09:45:00,12
2020-03-08 09:50:00,11
2020-03-08 09:55:00,15
2020-03-08 10:00:00,15
2020-03-08 10:05:00,3
2020-03-08 10:10:00,5
2020-03-08 10:15:00,7
2020-03-08 10:20:00,10
2020-03-08 10:25:00,16
2020-03-08 10:30:00,15
2020-03-08 10:35:00,14
2020-03-08 10:40:00,22
2020-03-08 10:45:00,20
2020-03-08 10:50:00,12
2020-03-08 10:55:00,15
2020-03-08 11:00:00,12
2020-03-08 11:05:00,1
2020-03-08 11:10:00,4
2020-03-08 11:15:00,0
2020-03-08 11:20:00,1
2020-03-08 11:25:00,3
2020-03-08 11:30:00,333
2020-03-08 11:35:00,477
2020-03-08 11:40:00,203
2020-03-08 11:45:00,255
2020-03-08 11:50:00,427
2020-03-08 11:55:00,330
2020-03-08 12:00:00,452
2020-03-08 12:05:00,408
2020-03-08 12:10:00,426
2020-03-08 12:15:00,549
2020-03-08 12:20:00,566
2020-03-08 12:25:00,559
2020-03-08 12:30:00,575
2020-03-08 12:35:00,808
2020-03-08 12:40:00,637
2020-03-08 12:45:00,594
2020-03-08 12:50:00,675
2020-03-08 12:55:00,686
2020-03-08 13:00:00,626
2020-03-08 13:05:00,394
2020-03-08 13:10:00,290
2020-03-08 13:15:00,238
2020-03-08 13:20:00,170
2020-03-08 13:25:00,66
2020-03-08 13:30:00,39
2020-03-08 13:35:00,19
2020-03-08 13:40:00,14
2020-03-08 13:45:00,2
2020-03-08 13:50:00,5
2020-03-08 13:55:00,13
2020-03-08 14:00:00,4
2020-03-08 14:05:00,0
2020-03-08 14:10:00,2
2020-03-08 14:15:00,3
2020-03-08 14:20:00,1
2020-03-08 14:25:00,0
2020-03-08 14:30:00,1
2020-03-08 14:35:00,1
