Date,CountOfPersons
2019-08-18 08:35:00,10
2019-08-18 08:40:00,0
2019-08-18 08:45:00,0
2019-08-18 08:50:00,0
2019-08-18 08:55:00,0
2019-08-18 09:00:00,0
2019-08-18 09:05:00,0
2019-08-18 09:10:00,1
2019-08-18 09:15:00,0
2019-08-18 09:20:00,0
2019-08-18 09:25:00,0
2019-08-18 09:30:00,0
2019-08-18 09:35:00,0
2019-08-18 09:40:00,0
2019-08-18 09:45:00,0
2019-08-18 09:50:00,0
2019-08-18 09:55:00,0
2019-08-18 10:00:00,1
2019-08-18 10:05:00,0
2019-08-18 10:10:00,0
2019-08-18 10:15:00,0
2019-08-18 10:20:00,1
2019-08-18 10:25:00,4
2019-08-18 10:30:00,1
2019-08-18 10:35:00,3
2019-08-18 10:40:00,2
2019-08-18 10:45:00,4
2019-08-18 10:50:00,1
2019-08-18 10:55:00,4
2019-08-18 11:00:00,4
2019-08-18 11:05:00,1
2019-08-18 11:10:00,0
2019-08-18 11:15:00,0
2019-08-18 11:20:00,0
2019-08-18 11:25:00,0
2019-08-18 11:30:00,0
2019-08-18 11:35:00,412
2019-08-18 11:40:00,153
2019-08-18 11:45:00,103
2019-08-18 11:50:00,176
2019-08-18 11:55:00,184
2019-08-18 12:00:00,332
2019-08-18 12:05:00,449
2019-08-18 12:10:00,505
2019-08-18 12:15:00,551
2019-08-18 12:20:00,655
2019-08-18 12:25:00,928
2019-08-18 12:30:00,991
2019-08-18 12:35:00,1155
2019-08-18 12:40:00,1174
2019-08-18 12:45:00,1223
2019-08-18 12:50:00,1199
2019-08-18 12:55:00,987
2019-08-18 13:00:00,976
2019-08-18 13:05:00,755
2019-08-18 13:10:00,519
2019-08-18 13:15:00,427
2019-08-18 13:20:00,338
2019-08-18 13:25:00,125
2019-08-18 13:30:00,129
2019-08-18 13:35:00,41
2019-08-18 13:40:00,60
2019-08-18 13:45:00,26
2019-08-18 13:50:00,15
2019-08-18 13:55:00,12
2019-08-18 14:00:00,6
2019-08-18 14:05:00,16
2019-08-18 14:10:00,4
2019-08-18 14:15:00,10
2019-08-18 14:20:00,3
2019-08-18 14:25:00,6
2019-08-18 14:30:00,2
2019-08-18 14:35:00,2
