Date,CountOfPersons
2020-03-08 07:15:00,2
2020-03-08 07:20:00,0
2020-03-08 07:25:00,0
2020-03-08 07:30:00,0
2020-03-08 07:35:00,0
2020-03-08 07:40:00,2
2020-03-08 07:45:00,0
2020-03-08 07:50:00,0
2020-03-08 07:55:00,0
2020-03-08 08:00:00,0
2020-03-08 08:05:00,0
2020-03-08 08:10:00,1
2020-03-08 08:15:00,0
2020-03-08 08:20:00,0
2020-03-08 08:25:00,0
2020-03-08 08:30:00,0
2020-03-08 08:35:00,1
2020-03-08 08:40:00,0
2020-03-08 08:45:00,0
2020-03-08 08:50:00,0
2020-03-08 08:55:00,1
2020-03-08 09:00:00,1
2020-03-08 09:05:00,0
2020-03-08 09:10:00,1
2020-03-08 09:15:00,1
2020-03-08 09:20:00,2
2020-03-08 09:25:00,0
2020-03-08 09:30:00,0
2020-03-08 09:35:00,2
2020-03-08 09:40:00,3
2020-03-08 09:45:00,3
2020-03-08 09:50:00,8
2020-03-08 09:55:00,2
2020-03-08 10:00:00,0
2020-03-08 10:05:00,2
2020-03-08 10:10:00,1
2020-03-08 10:15:00,0
2020-03-08 10:20:00,1
2020-03-08 10:25:00,0
2020-03-08 10:30:00,2
2020-03-08 10:35:00,0
2020-03-08 10:40:00,2
2020-03-08 10:45:00,1
2020-03-08 10:50:00,3
2020-03-08 10:55:00,0
2020-03-08 11:00:00,2
2020-03-08 11:05:00,4
2020-03-08 11:10:00,1
2020-03-08 11:15:00,6
2020-03-08 11:20:00,4
2020-03-08 11:25:00,2
2020-03-08 11:30:00,4
2020-03-08 11:35:00,14
2020-03-08 11:40:00,6
2020-03-08 11:45:00,12
2020-03-08 11:50:00,14
2020-03-08 11:55:00,22
2020-03-08 12:00:00,20
2020-03-08 12:05:00,15
2020-03-08 12:10:00,22
2020-03-08 12:15:00,16
2020-03-08 12:20:00,13
2020-03-08 12:25:00,24
2020-03-08 12:30:00,10
2020-03-08 12:35:00,11
2020-03-08 12:40:00,8
2020-03-08 12:45:00,9
2020-03-08 12:50:00,6
2020-03-08 12:55:00,2
2020-03-08 13:00:00,2
2020-03-08 13:05:00,2
2020-03-08 13:10:00,4
2020-03-08 13:15:00,2
