Date,CountOfPersons
2020-03-08 11:30:00,99
2020-03-08 11:35:00,135
2020-03-08 11:40:00,103
2020-03-08 11:45:00,119
2020-03-08 11:50:00,115
2020-03-08 11:55:00,117
2020-03-08 12:00:00,120
2020-03-08 12:05:00,123
2020-03-08 12:10:00,156
2020-03-08 12:15:00,130
2020-03-08 12:20:00,137
2020-03-08 12:25:00,154
2020-03-08 12:30:00,164
2020-03-08 12:35:00,132
2020-03-08 12:40:00,138
2020-03-08 12:45:00,173
2020-03-08 12:50:00,224
2020-03-08 12:55:00,215
2020-03-08 13:00:00,257
2020-03-08 13:05:00,62
2020-03-08 13:10:00,3
2020-03-08 13:15:00,9
2020-03-08 13:20:00,0
2020-03-08 13:25:00,10
