Date,CountOfPersons
2019-04-21 11:30:00,3
2019-04-21 11:35:00,2
2019-04-21 11:40:00,2
2019-04-21 11:45:00,4
2019-04-21 11:50:00,0
2019-04-21 11:55:00,6
2019-04-21 12:00:00,7
2019-04-21 12:05:00,7
2019-04-21 12:10:00,8
2019-04-21 12:15:00,21
2019-04-21 12:20:00,14
2019-04-21 12:25:00,31
2019-04-21 12:30:00,60
2019-04-21 12:35:00,61
2019-04-21 12:40:00,64
2019-04-21 12:45:00,92
2019-04-21 12:50:00,73
2019-04-21 12:55:00,97
2019-04-21 13:00:00,90
2019-04-21 13:05:00,41
2019-04-21 13:10:00,16
2019-04-21 13:15:00,18
2019-04-21 13:20:00,7
2019-04-21 13:25:00,5
