Date,CountOfPersons
2019-08-18 11:30:00,45
2019-08-18 11:35:00,13
2019-08-18 11:40:00,29
2019-08-18 11:45:00,41
2019-08-18 11:50:00,53
2019-08-18 11:55:00,77
2019-08-18 12:00:00,151
2019-08-18 12:05:00,249
2019-08-18 12:10:00,269
2019-08-18 12:15:00,408
2019-08-18 12:20:00,432
2019-08-18 12:25:00,604
2019-08-18 12:30:00,863
2019-08-18 12:35:00,996
2019-08-18 12:40:00,979
2019-08-18 12:45:00,1136
2019-08-18 12:50:00,1352
2019-08-18 12:55:00,1458
2019-08-18 13:00:00,1407
2019-08-18 13:05:00,1343
2019-08-18 13:10:00,1004
2019-08-18 13:15:00,515
2019-08-18 13:20:00,406
2019-08-18 13:25:00,193
2019-08-18 13:30:00,80
2019-08-18 13:35:00,46
2019-08-18 13:40:00,22
2019-08-18 13:45:00,12
2019-08-18 13:50:00,4
2019-08-18 13:55:00,4
2019-08-18 14:00:00,10
2019-08-18 14:05:00,0
2019-08-18 14:10:00,7
2019-08-18 14:15:00,0
2019-08-18 14:20:00,0
2019-08-18 14:25:00,2
