Date,CountOfPersons
2020-02-07 16:35:00,3
2020-02-07 16:40:00,4
2020-02-07 16:45:00,2
2020-02-07 16:50:00,0
2020-02-07 16:55:00,3
2020-02-07 17:00:00,0
2020-02-07 17:05:00,15
2020-02-07 17:10:00,29
2020-02-07 17:15:00,3
2020-02-07 17:20:00,13
2020-02-07 17:25:00,11
2020-02-07 17:30:00,19
2020-02-07 17:35:00,2
2020-02-07 17:40:00,52
2020-02-07 17:45:00,74
2020-02-07 17:50:00,61
2020-02-07 17:55:00,30
2020-02-07 18:00:00,12
2020-02-07 18:05:00,9
2020-02-07 18:10:00,9
2020-02-07 18:15:00,8
2020-02-07 18:20:00,8
2020-02-07 18:25:00,5
2020-02-07 18:30:00,2
2020-02-07 18:35:00,0
2020-02-07 18:40:00,0
2020-02-07 18:45:00,0
2020-02-07 18:50:00,3
