Date,CountOfPersons
2020-02-07 16:35:00,34
2020-02-07 16:40:00,12
2020-02-07 16:45:00,18
2020-02-07 16:50:00,33
2020-02-07 16:55:00,20
2020-02-07 17:00:00,31
2020-02-07 17:05:00,62
2020-02-07 17:10:00,70
2020-02-07 17:15:00,97
2020-02-07 17:20:00,96
2020-02-07 17:25:00,201
2020-02-07 17:30:00,233
2020-02-07 17:35:00,359
2020-02-07 17:40:00,426
2020-02-07 17:45:00,432
2020-02-07 17:50:00,442
2020-02-07 17:55:00,467
2020-02-07 18:00:00,455
2020-02-07 18:05:00,479
2020-02-07 18:10:00,463
2020-02-07 18:15:00,467
2020-02-07 18:20:00,493
2020-02-07 18:25:00,502
2020-02-07 18:30:00,578
2020-02-07 18:35:00,82
2020-02-07 18:40:00,15
2020-02-07 18:45:00,6
2020-02-07 18:50:00,12
2020-02-07 18:55:00,0
2020-02-07 19:00:00,2
2020-02-07 19:05:00,4
2020-02-07 19:10:00,1
2020-02-07 19:15:00,1
