Date,CountOfPersons
2019-07-16 13:15:00,1
2019-07-16 13:20:00,0
2019-07-16 13:25:00,0
2019-07-16 13:30:00,0
2019-07-16 13:35:00,0
2019-07-16 13:40:00,0
2019-07-16 13:45:00,0
2019-07-16 13:50:00,0
2019-07-16 13:55:00,0
2019-07-16 14:00:00,0
2019-07-16 14:05:00,0
2019-07-16 14:10:00,0
2019-07-16 14:15:00,0
2019-07-16 14:20:00,0
2019-07-16 14:25:00,1
2019-07-16 14:30:00,0
2019-07-16 14:35:00,0
2019-07-16 14:40:00,2
2019-07-16 14:45:00,0
2019-07-16 14:50:00,0
2019-07-16 14:55:00,5
2019-07-16 15:00:00,1
2019-07-16 15:05:00,1
2019-07-16 15:10:00,0
2019-07-16 15:15:00,1
2019-07-16 15:20:00,8
2019-07-16 15:25:00,2
2019-07-16 15:30:00,1
2019-07-16 15:35:00,2
2019-07-16 15:40:00,1
2019-07-16 15:45:00,0
2019-07-16 15:50:00,0
2019-07-16 15:55:00,1
2019-07-16 16:00:00,0
2019-07-16 16:05:00,0
2019-07-16 16:10:00,2
2019-07-16 16:15:00,0
2019-07-16 16:20:00,0
2019-07-16 16:25:00,0
2019-07-16 16:30:00,0
2019-07-16 16:35:00,0
2019-07-16 16:40:00,0
2019-07-16 16:45:00,0
2019-07-16 16:50:00,0
2019-07-16 16:55:00,1
2019-07-16 17:00:00,0
2019-07-16 17:05:00,3
2019-07-16 17:10:00,1
2019-07-16 17:15:00,5
2019-07-16 17:20:00,6
2019-07-16 17:25:00,3
2019-07-16 17:30:00,4
2019-07-16 17:35:00,2
2019-07-16 17:40:00,2
2019-07-16 17:45:00,3
2019-07-16 17:50:00,2
2019-07-16 17:55:00,2
2019-07-16 18:00:00,0
2019-07-16 18:05:00,3
2019-07-16 18:10:00,1
2019-07-16 18:15:00,1
2019-07-16 18:20:00,0
2019-07-16 18:25:00,1
2019-07-16 18:30:00,398
2019-07-16 18:35:00,288
2019-07-16 18:40:00,188
2019-07-16 18:45:00,165
2019-07-16 18:50:00,202
2019-07-16 18:55:00,227
2019-07-16 19:00:00,293
2019-07-16 19:05:00,456
2019-07-16 19:10:00,505
2019-07-16 19:15:00,509
2019-07-16 19:20:00,593
2019-07-16 19:25:00,635
2019-07-16 19:30:00,607
2019-07-16 19:35:00,687
2019-07-16 19:40:00,662
2019-07-16 19:45:00,611
2019-07-16 19:50:00,640
2019-07-16 19:55:00,600
2019-07-16 20:00:00,637
2019-07-16 20:05:00,638
2019-07-16 20:10:00,341
2019-07-16 20:15:00,62
2019-07-16 20:20:00,39
2019-07-16 20:25:00,18
2019-07-16 20:30:00,7
2019-07-16 20:35:00,11
2019-07-16 20:40:00,7
2019-07-16 20:45:00,2
2019-07-16 20:50:00,4
2019-07-16 20:55:00,2
2019-07-16 21:00:00,1
2019-07-16 21:05:00,4
2019-07-16 21:10:00,0
2019-07-16 21:15:00,0
2019-07-16 21:20:00,1
2019-07-16 21:25:00,1
