Date,CountOfPersons
2019-05-03 16:30:00,7
2019-05-03 16:35:00,18
2019-05-03 16:40:00,21
2019-05-03 16:45:00,13
2019-05-03 16:50:00,26
2019-05-03 16:55:00,54
2019-05-03 17:00:00,66
2019-05-03 17:05:00,71
2019-05-03 17:10:00,96
2019-05-03 17:15:00,122
2019-05-03 17:20:00,218
2019-05-03 17:25:00,276
2019-05-03 17:30:00,393
2019-05-03 17:35:00,459
2019-05-03 17:40:00,523
2019-05-03 17:45:00,428
2019-05-03 17:50:00,579
2019-05-03 17:55:00,558
2019-05-03 18:00:00,573
2019-05-03 18:05:00,538
2019-05-03 18:10:00,555
2019-05-03 18:15:00,631
2019-05-03 18:20:00,610
2019-05-03 18:25:00,632
2019-05-03 18:30:00,291
2019-05-03 18:35:00,24
2019-05-03 18:40:00,16
2019-05-03 18:45:00,9
2019-05-03 18:50:00,0
2019-05-03 18:55:00,10
2019-05-03 19:00:00,8
2019-05-03 19:05:00,2
2019-05-03 19:10:00,2
