Date,CountOfPersons
2019-10-26 11:05:00,7
2019-10-26 11:10:00,8
2019-10-26 11:15:00,26
2019-10-26 11:20:00,26
2019-10-26 11:25:00,17
2019-10-26 11:30:00,6
2019-10-26 11:35:00,11
2019-10-26 11:40:00,8
2019-10-26 11:45:00,59
2019-10-26 11:50:00,22
2019-10-26 11:55:00,22
2019-10-26 12:00:00,8
2019-10-26 12:05:00,87
2019-10-26 12:10:00,87
2019-10-26 12:15:00,65
2019-10-26 12:20:00,18
2019-10-26 12:25:00,76
2019-10-26 12:30:00,31
2019-10-26 12:35:00,19
2019-10-26 12:40:00,28
2019-10-26 12:45:00,28
2019-10-26 12:50:00,6
2019-10-26 12:55:00,7
2019-10-26 13:00:00,4
2019-10-26 13:05:00,6
