Date,CountOfPersons
2019-10-26 11:25:00,1
2019-10-26 11:30:00,135
2019-10-26 11:35:00,142
2019-10-26 11:40:00,72
2019-10-26 11:45:00,72
2019-10-26 11:50:00,75
2019-10-26 11:55:00,61
2019-10-26 12:00:00,106
2019-10-26 12:05:00,86
2019-10-26 12:10:00,71
2019-10-26 12:15:00,89
2019-10-26 12:20:00,79
2019-10-26 12:25:00,62
2019-10-26 12:30:00,46
2019-10-26 12:35:00,29
2019-10-26 12:40:00,32
2019-10-26 12:45:00,6
2019-10-26 12:50:00,19
2019-10-26 12:55:00,11
2019-10-26 13:00:00,3
2019-10-26 13:05:00,4
2019-10-26 13:10:00,6
2019-10-26 13:15:00,2
2019-10-26 13:20:00,0
2019-10-26 13:25:00,0
2019-10-26 13:30:00,0
2019-10-26 13:35:00,2
2019-10-26 13:40:00,0
2019-10-26 13:45:00,0
2019-10-26 13:50:00,2
2019-10-26 13:55:00,0
2019-10-26 14:00:00,1
2019-10-26 14:05:00,0
2019-10-26 14:10:00,0
2019-10-26 14:15:00,0
2019-10-26 14:20:00,0
2019-10-26 14:25:00,1
