Date,CountOfPersons
2020-02-22 11:25:00,1
2020-02-22 11:30:00,174
2020-02-22 11:35:00,86
2020-02-22 11:40:00,102
2020-02-22 11:45:00,79
2020-02-22 11:50:00,72
2020-02-22 11:55:00,89
2020-02-22 12:00:00,106
2020-02-22 12:05:00,98
2020-02-22 12:10:00,77
2020-02-22 12:15:00,57
2020-02-22 12:20:00,68
2020-02-22 12:25:00,40
2020-02-22 12:30:00,65
2020-02-22 12:35:00,34
2020-02-22 12:40:00,22
2020-02-22 12:45:00,19
2020-02-22 12:50:00,13
2020-02-22 12:55:00,9
2020-02-22 13:00:00,3
2020-02-22 13:05:00,1
2020-02-22 13:10:00,4
2020-02-22 13:15:00,1
2020-02-22 13:20:00,0
2020-02-22 13:25:00,0
2020-02-22 13:30:00,0
2020-02-22 13:35:00,0
2020-02-22 13:40:00,0
2020-02-22 13:45:00,0
2020-02-22 13:50:00,0
2020-02-22 13:55:00,0
2020-02-22 14:00:00,0
2020-02-22 14:05:00,1
