Date,CountOfPersons
2019-07-27 07:00:00,2
2019-07-27 07:05:00,1
2019-07-27 07:10:00,0
2019-07-27 07:15:00,0
2019-07-27 07:20:00,3
2019-07-27 07:25:00,0
2019-07-27 07:30:00,0
2019-07-27 07:35:00,1
2019-07-27 07:40:00,1
2019-07-27 07:45:00,2
2019-07-27 07:50:00,1
2019-07-27 07:55:00,0
2019-07-27 08:00:00,0
2019-07-27 08:05:00,0
2019-07-27 08:10:00,2
2019-07-27 08:15:00,2
2019-07-27 08:20:00,0
2019-07-27 08:25:00,3
2019-07-27 08:30:00,1
2019-07-27 08:35:00,1
2019-07-27 08:40:00,0
2019-07-27 08:45:00,3
2019-07-27 08:50:00,1
2019-07-27 08:55:00,1
2019-07-27 09:00:00,2
2019-07-27 09:05:00,1
2019-07-27 09:10:00,7
2019-07-27 09:15:00,4
2019-07-27 09:20:00,8
2019-07-27 09:25:00,3
2019-07-27 09:30:00,3
2019-07-27 09:35:00,2
2019-07-27 09:40:00,0
2019-07-27 09:45:00,3
2019-07-27 09:50:00,6
2019-07-27 09:55:00,0
2019-07-27 10:00:00,2
2019-07-27 10:05:00,5
2019-07-27 10:10:00,4
2019-07-27 10:15:00,3
2019-07-27 10:20:00,5
2019-07-27 10:25:00,12
2019-07-27 10:30:00,9
2019-07-27 10:35:00,23
2019-07-27 10:40:00,2
2019-07-27 10:45:00,5
2019-07-27 10:50:00,1
2019-07-27 10:55:00,2
2019-07-27 11:00:00,6
2019-07-27 11:05:00,4
2019-07-27 11:10:00,2
2019-07-27 11:15:00,9
2019-07-27 11:20:00,6
2019-07-27 11:25:00,5
2019-07-27 11:30:00,98
2019-07-27 11:35:00,103
2019-07-27 11:40:00,69
2019-07-27 11:45:00,72
2019-07-27 11:50:00,96
2019-07-27 11:55:00,91
2019-07-27 12:00:00,78
2019-07-27 12:05:00,94
2019-07-27 12:10:00,82
2019-07-27 12:15:00,62
2019-07-27 12:20:00,76
2019-07-27 12:25:00,72
2019-07-27 12:30:00,63
2019-07-27 12:35:00,31
2019-07-27 12:40:00,34
2019-07-27 12:45:00,17
2019-07-27 12:50:00,29
2019-07-27 12:55:00,10
2019-07-27 13:00:00,8
2019-07-27 13:05:00,0
2019-07-27 13:10:00,6
2019-07-27 13:15:00,2
2019-07-27 13:20:00,5
2019-07-27 13:25:00,1
2019-07-27 13:30:00,0
2019-07-27 13:35:00,0
2019-07-27 13:40:00,3
2019-07-27 13:45:00,1
2019-07-27 13:50:00,1
2019-07-27 13:55:00,0
2019-07-27 14:00:00,1
2019-07-27 14:05:00,2
2019-07-27 14:10:00,0
2019-07-27 14:15:00,0
2019-07-27 14:20:00,0
2019-07-27 14:25:00,0
2019-07-27 14:30:00,0
2019-07-27 14:35:00,0
2019-07-27 14:40:00,0
2019-07-27 14:45:00,0
2019-07-27 14:50:00,0
2019-07-27 14:55:00,0
2019-07-27 15:00:00,0
2019-07-27 15:05:00,1
2019-07-27 15:10:00,0
2019-07-27 15:15:00,1
2019-07-27 15:20:00,0
2019-07-27 15:25:00,0
2019-07-27 15:30:00,0
2019-07-27 15:35:00,0
2019-07-27 15:40:00,0
2019-07-27 15:45:00,0
2019-07-27 15:50:00,0
2019-07-27 15:55:00,0
2019-07-27 16:00:00,0
2019-07-27 16:05:00,0
2019-07-27 16:10:00,0
2019-07-27 16:15:00,0
2019-07-27 16:20:00,0
2019-07-27 16:25:00,0
2019-07-27 16:30:00,0
2019-07-27 16:35:00,1
