Date,CountOfPersons
2019-07-27 10:50:00,111
2019-07-27 10:55:00,3
2019-07-27 11:00:00,9
2019-07-27 11:05:00,66
2019-07-27 11:10:00,4
2019-07-27 11:15:00,57
2019-07-27 11:20:00,119
2019-07-27 11:25:00,10
2019-07-27 11:30:00,187
2019-07-27 11:35:00,43
2019-07-27 11:40:00,47
2019-07-27 11:45:00,89
2019-07-27 11:50:00,43
2019-07-27 11:55:00,213
2019-07-27 12:00:00,74
2019-07-27 12:05:00,219
2019-07-27 12:10:00,25
2019-07-27 12:15:00,217
2019-07-27 12:20:00,62
2019-07-27 12:25:00,150
2019-07-27 12:30:00,45
2019-07-27 12:35:00,19
2019-07-27 12:40:00,50
2019-07-27 12:45:00,34
2019-07-27 12:50:00,9
2019-07-27 12:55:00,9
2019-07-27 13:00:00,0
2019-07-27 13:05:00,3
2019-07-27 13:10:00,8
2019-07-27 13:15:00,0
2019-07-27 13:20:00,1
2019-07-27 13:25:00,3
