Date,CountOfPersons
2019-08-18 11:30:00,14
2019-08-18 11:35:00,2
2019-08-18 11:40:00,2
2019-08-18 11:45:00,3
2019-08-18 11:50:00,8
2019-08-18 11:55:00,0
2019-08-18 12:00:00,5
2019-08-18 12:05:00,16
2019-08-18 12:10:00,10
2019-08-18 12:15:00,10
2019-08-18 12:20:00,20
2019-08-18 12:25:00,6
2019-08-18 12:30:00,22
2019-08-18 12:35:00,125
2019-08-18 12:40:00,25
2019-08-18 12:45:00,8
2019-08-18 12:50:00,65
2019-08-18 12:55:00,12
2019-08-18 13:00:00,16
2019-08-18 13:05:00,17
2019-08-18 13:10:00,10
2019-08-18 13:15:00,6
2019-08-18 13:20:00,3
2019-08-18 13:25:00,4
2019-08-18 13:30:00,0
2019-08-18 13:35:00,0
2019-08-18 13:40:00,0
2019-08-18 13:45:00,0
2019-08-18 13:50:00,0
2019-08-18 13:55:00,0
2019-08-18 14:00:00,4
