Date,CountOfPersons
2020-02-07 15:45:00,6
2020-02-07 15:50:00,0
2020-02-07 15:55:00,0
2020-02-07 16:00:00,0
2020-02-07 16:05:00,0
2020-02-07 16:10:00,1
2020-02-07 16:15:00,0
2020-02-07 16:20:00,0
2020-02-07 16:25:00,0
2020-02-07 16:30:00,0
2020-02-07 16:35:00,15
2020-02-07 16:40:00,22
2020-02-07 16:45:00,8
2020-02-07 16:50:00,18
2020-02-07 16:55:00,28
2020-02-07 17:00:00,18
2020-02-07 17:05:00,37
2020-02-07 17:10:00,72
2020-02-07 17:15:00,68
2020-02-07 17:20:00,130
2020-02-07 17:25:00,161
2020-02-07 17:30:00,211
2020-02-07 17:35:00,238
2020-02-07 17:40:00,310
2020-02-07 17:45:00,340
2020-02-07 17:50:00,346
2020-02-07 17:55:00,332
2020-02-07 18:00:00,314
2020-02-07 18:05:00,352
2020-02-07 18:10:00,353
2020-02-07 18:15:00,425
2020-02-07 18:20:00,366
2020-02-07 18:25:00,390
2020-02-07 18:30:00,378
2020-02-07 18:35:00,69
2020-02-07 18:40:00,23
2020-02-07 18:45:00,19
2020-02-07 18:50:00,2
2020-02-07 18:55:00,3
2020-02-07 19:00:00,3
2020-02-07 19:05:00,1
2020-02-07 19:10:00,0
2020-02-07 19:15:00,0
2020-02-07 19:20:00,0
2020-02-07 19:25:00,0
2020-02-07 19:30:00,2
2020-02-07 19:35:00,1
