Date,CountOfPersons
2019-11-30 11:15:00,18
2019-11-30 11:20:00,2
2019-11-30 11:25:00,2
2019-11-30 11:30:00,1
2019-11-30 11:35:00,29
2019-11-30 11:40:00,5
2019-11-30 11:45:00,5
2019-11-30 11:50:00,15
2019-11-30 11:55:00,26
2019-11-30 12:00:00,18
2019-11-30 12:05:00,102
2019-11-30 12:10:00,113
2019-11-30 12:15:00,146
2019-11-30 12:20:00,129
2019-11-30 12:25:00,134
2019-11-30 12:30:00,86
2019-11-30 12:35:00,4
2019-11-30 12:40:00,14
2019-11-30 12:45:00,7
2019-11-30 12:50:00,8
2019-11-30 12:55:00,3
2019-11-30 13:00:00,3
2019-11-30 13:05:00,2
2019-11-30 13:10:00,0
2019-11-30 13:15:00,2
