Date,CountOfPersons
2019-07-27 09:55:00,3
2019-07-27 10:00:00,0
2019-07-27 10:05:00,0
2019-07-27 10:10:00,0
2019-07-27 10:15:00,0
2019-07-27 10:20:00,1
2019-07-27 10:25:00,0
2019-07-27 10:30:00,0
2019-07-27 10:35:00,0
2019-07-27 10:40:00,0
2019-07-27 10:45:00,0
2019-07-27 10:50:00,0
2019-07-27 10:55:00,0
2019-07-27 11:00:00,0
2019-07-27 11:05:00,33
2019-07-27 11:10:00,12
2019-07-27 11:15:00,34
2019-07-27 11:20:00,26
2019-07-27 11:25:00,49
2019-07-27 11:30:00,60
2019-07-27 11:35:00,92
2019-07-27 11:40:00,135
2019-07-27 11:45:00,148
2019-07-27 11:50:00,203
2019-07-27 11:55:00,295
2019-07-27 12:00:00,338
2019-07-27 12:05:00,349
2019-07-27 12:10:00,399
2019-07-27 12:15:00,334
2019-07-27 12:20:00,278
2019-07-27 12:25:00,414
2019-07-27 12:30:00,402
2019-07-27 12:35:00,380
2019-07-27 12:40:00,397
2019-07-27 12:45:00,559
2019-07-27 12:50:00,627
2019-07-27 12:55:00,438
2019-07-27 13:00:00,27
2019-07-27 13:05:00,32
2019-07-27 13:10:00,17
2019-07-27 13:15:00,18
2019-07-27 13:20:00,6
2019-07-27 13:25:00,0
2019-07-27 13:30:00,2
2019-07-27 13:35:00,1
2019-07-27 13:40:00,1
2019-07-27 13:45:00,0
2019-07-27 13:50:00,0
2019-07-27 13:55:00,0
2019-07-27 14:00:00,1
2019-07-27 14:05:00,1
