Date,CountOfPersons
2019-12-08 11:30:00,7
2019-12-08 11:35:00,24
2019-12-08 11:40:00,15
2019-12-08 11:45:00,28
2019-12-08 11:50:00,19
2019-12-08 11:55:00,58
2019-12-08 12:00:00,38
2019-12-08 12:05:00,46
2019-12-08 12:10:00,94
2019-12-08 12:15:00,150
2019-12-08 12:20:00,156
2019-12-08 12:25:00,279
2019-12-08 12:30:00,312
2019-12-08 12:35:00,507
2019-12-08 12:40:00,510
2019-12-08 12:45:00,546
2019-12-08 12:50:00,552
2019-12-08 12:55:00,527
2019-12-08 13:00:00,519
2019-12-08 13:05:00,484
2019-12-08 13:10:00,555
2019-12-08 13:15:00,473
2019-12-08 13:20:00,178
2019-12-08 13:25:00,118
2019-12-08 13:30:00,49
2019-12-08 13:35:00,22
2019-12-08 13:40:00,11
2019-12-08 13:45:00,1
2019-12-08 13:50:00,4
2019-12-08 13:55:00,3
2019-12-08 14:00:00,1
2019-12-08 14:05:00,1
2019-12-08 14:10:00,1
2019-12-08 14:15:00,2
2019-12-08 14:20:00,0
2019-12-08 14:25:00,0
2019-12-08 14:30:00,1
2019-12-08 14:35:00,1
