Date,CountOfPersons
2020-02-22 11:00:00,16
2020-02-22 11:05:00,19
2020-02-22 11:10:00,26
2020-02-22 11:15:00,30
2020-02-22 11:20:00,8
2020-02-22 11:25:00,30
2020-02-22 11:30:00,65
2020-02-22 11:35:00,60
2020-02-22 11:40:00,113
2020-02-22 11:45:00,135
2020-02-22 11:50:00,194
2020-02-22 11:55:00,238
2020-02-22 12:00:00,348
2020-02-22 12:05:00,403
2020-02-22 12:10:00,491
2020-02-22 12:15:00,537
2020-02-22 12:20:00,523
2020-02-22 12:25:00,547
2020-02-22 12:30:00,556
2020-02-22 12:35:00,584
2020-02-22 12:40:00,551
2020-02-22 12:45:00,599
2020-02-22 12:50:00,453
2020-02-22 12:55:00,82
2020-02-22 13:00:00,56
2020-02-22 13:05:00,14
2020-02-22 13:10:00,20
2020-02-22 13:15:00,12
2020-02-22 13:20:00,2
2020-02-22 13:25:00,6
2020-02-22 13:30:00,0
2020-02-22 13:35:00,5
