Date,CountOfPersons
2019-07-16 17:50:00,2
2019-07-16 17:55:00,0
2019-07-16 18:00:00,0
2019-07-16 18:05:00,0
2019-07-16 18:10:00,0
2019-07-16 18:15:00,0
2019-07-16 18:20:00,0
2019-07-16 18:25:00,0
2019-07-16 18:30:00,150
2019-07-16 18:35:00,123
2019-07-16 18:40:00,109
2019-07-16 18:45:00,110
2019-07-16 18:50:00,143
2019-07-16 18:55:00,197
2019-07-16 19:00:00,279
2019-07-16 19:05:00,307
2019-07-16 19:10:00,403
2019-07-16 19:15:00,459
2019-07-16 19:20:00,455
2019-07-16 19:25:00,467
2019-07-16 19:30:00,516
2019-07-16 19:35:00,465
2019-07-16 19:40:00,476
2019-07-16 19:45:00,468
2019-07-16 19:50:00,548
2019-07-16 19:55:00,509
2019-07-16 20:00:00,505
2019-07-16 20:05:00,513
2019-07-16 20:10:00,600
2019-07-16 20:15:00,463
2019-07-16 20:20:00,20
2019-07-16 20:25:00,11
2019-07-16 20:30:00,29
2019-07-16 20:35:00,4
2019-07-16 20:40:00,0
2019-07-16 20:45:00,0
2019-07-16 20:50:00,2
2019-07-16 20:55:00,0
2019-07-16 21:00:00,0
2019-07-16 21:05:00,0
2019-07-16 21:10:00,0
2019-07-16 21:15:00,6
2019-07-16 21:20:00,10
2019-07-16 21:25:00,2
