Date,CountOfPersons
2020-02-07 11:15:00,1
2020-02-07 11:20:00,0
2020-02-07 11:25:00,0
2020-02-07 11:30:00,0
2020-02-07 11:35:00,0
2020-02-07 11:40:00,0
2020-02-07 11:45:00,0
2020-02-07 11:50:00,0
2020-02-07 11:55:00,5
2020-02-07 12:00:00,2
2020-02-07 12:05:00,0
2020-02-07 12:10:00,1
2020-02-07 12:15:00,0
2020-02-07 12:20:00,0
2020-02-07 12:25:00,0
2020-02-07 12:30:00,0
2020-02-07 12:35:00,0
2020-02-07 12:40:00,0
2020-02-07 12:45:00,2
2020-02-07 12:50:00,0
2020-02-07 12:55:00,0
2020-02-07 13:00:00,0
2020-02-07 13:05:00,0
2020-02-07 13:10:00,0
2020-02-07 13:15:00,0
2020-02-07 13:20:00,1
2020-02-07 13:25:00,4
2020-02-07 13:30:00,7
2020-02-07 13:35:00,5
2020-02-07 13:40:00,0
2020-02-07 13:45:00,2
2020-02-07 13:50:00,0
2020-02-07 13:55:00,1
2020-02-07 14:00:00,2
2020-02-07 14:05:00,1
2020-02-07 14:10:00,3
2020-02-07 14:15:00,1
2020-02-07 14:20:00,2
2020-02-07 14:25:00,0
2020-02-07 14:30:00,0
2020-02-07 14:35:00,0
2020-02-07 14:40:00,3
2020-02-07 14:45:00,13
2020-02-07 14:50:00,3
2020-02-07 14:55:00,7
2020-02-07 15:00:00,10
2020-02-07 15:05:00,9
2020-02-07 15:10:00,10
2020-02-07 15:15:00,3
2020-02-07 15:20:00,9
2020-02-07 15:25:00,11
2020-02-07 15:30:00,7
2020-02-07 15:35:00,15
2020-02-07 15:40:00,15
2020-02-07 15:45:00,14
2020-02-07 15:50:00,11
2020-02-07 15:55:00,18
2020-02-07 16:00:00,12
2020-02-07 16:05:00,15
2020-02-07 16:10:00,2
2020-02-07 16:15:00,2
2020-02-07 16:20:00,3
2020-02-07 16:25:00,6
2020-02-07 16:30:00,3
2020-02-07 16:35:00,264
2020-02-07 16:40:00,98
2020-02-07 16:45:00,101
2020-02-07 16:50:00,88
2020-02-07 16:55:00,141
2020-02-07 17:00:00,144
2020-02-07 17:05:00,179
2020-02-07 17:10:00,246
2020-02-07 17:15:00,291
2020-02-07 17:20:00,311
2020-02-07 17:25:00,425
2020-02-07 17:30:00,543
2020-02-07 17:35:00,542
2020-02-07 17:40:00,587
2020-02-07 17:45:00,582
2020-02-07 17:50:00,579
2020-02-07 17:55:00,627
2020-02-07 18:00:00,660
2020-02-07 18:05:00,641
2020-02-07 18:10:00,642
2020-02-07 18:15:00,675
2020-02-07 18:20:00,688
2020-02-07 18:25:00,587
2020-02-07 18:30:00,74
2020-02-07 18:35:00,47
2020-02-07 18:40:00,17
2020-02-07 18:45:00,9
2020-02-07 18:50:00,16
2020-02-07 18:55:00,7
2020-02-07 19:00:00,14
2020-02-07 19:05:00,4
2020-02-07 19:10:00,2
2020-02-07 19:15:00,3
2020-02-07 19:20:00,6
2020-02-07 19:25:00,0
2020-02-07 19:30:00,1
2020-02-07 19:35:00,2
2020-02-07 19:40:00,0
2020-02-07 19:45:00,3
