Date,CountOfPersons
2019-04-21 08:40:00,1
2019-04-21 08:45:00,4
2019-04-21 08:50:00,2
2019-04-21 08:55:00,0
2019-04-21 09:00:00,2
2019-04-21 09:05:00,3
2019-04-21 09:10:00,6
2019-04-21 09:15:00,2
2019-04-21 09:20:00,1
2019-04-21 09:25:00,3
2019-04-21 09:30:00,2
2019-04-21 09:35:00,0
2019-04-21 09:40:00,4
2019-04-21 09:45:00,13
2019-04-21 09:50:00,11
2019-04-21 09:55:00,12
2019-04-21 10:00:00,13
2019-04-21 10:05:00,46
2019-04-21 10:10:00,7
2019-04-21 10:15:00,9
2019-04-21 10:20:00,11
2019-04-21 10:25:00,19
2019-04-21 10:30:00,10
2019-04-21 10:35:00,11
2019-04-21 10:40:00,15
2019-04-21 10:45:00,12
2019-04-21 10:50:00,13
2019-04-21 10:55:00,19
2019-04-21 11:00:00,18
2019-04-21 11:05:00,13
2019-04-21 11:10:00,8
2019-04-21 11:15:00,9
2019-04-21 11:20:00,1
2019-04-21 11:25:00,3
2019-04-21 11:30:00,315
2019-04-21 11:35:00,397
2019-04-21 11:40:00,195
2019-04-21 11:45:00,183
2019-04-21 11:50:00,255
2019-04-21 11:55:00,268
2019-04-21 12:00:00,273
2019-04-21 12:05:00,340
2019-04-21 12:10:00,463
2019-04-21 12:15:00,456
2019-04-21 12:20:00,584
2019-04-21 12:25:00,665
2019-04-21 12:30:00,671
2019-04-21 12:35:00,680
2019-04-21 12:40:00,699
2019-04-21 12:45:00,750
2019-04-21 12:50:00,694
2019-04-21 12:55:00,637
2019-04-21 13:00:00,390
2019-04-21 13:05:00,398
2019-04-21 13:10:00,252
2019-04-21 13:15:00,290
2019-04-21 13:20:00,175
2019-04-21 13:25:00,66
2019-04-21 13:30:00,19
2019-04-21 13:35:00,15
2019-04-21 13:40:00,5
2019-04-21 13:45:00,5
2019-04-21 13:50:00,6
2019-04-21 13:55:00,4
2019-04-21 14:00:00,4
2019-04-21 14:05:00,1
2019-04-21 14:10:00,1
2019-04-21 14:15:00,5
2019-04-21 14:20:00,2
2019-04-21 14:25:00,2
2019-04-21 14:30:00,1
2019-04-21 14:35:00,5
2019-04-21 14:40:00,1
2019-04-21 14:45:00,2
