Date,CountOfPersons
2019-05-03 10:30:00,1
2019-05-03 10:35:00,0
2019-05-03 10:40:00,0
2019-05-03 10:45:00,0
2019-05-03 10:50:00,0
2019-05-03 10:55:00,0
2019-05-03 11:00:00,0
2019-05-03 11:05:00,0
2019-05-03 11:10:00,0
2019-05-03 11:15:00,0
2019-05-03 11:20:00,0
2019-05-03 11:25:00,0
2019-05-03 11:30:00,0
2019-05-03 11:35:00,0
2019-05-03 11:40:00,0
2019-05-03 11:45:00,0
2019-05-03 11:50:00,0
2019-05-03 11:55:00,0
2019-05-03 12:00:00,0
2019-05-03 12:05:00,0
2019-05-03 12:10:00,0
2019-05-03 12:15:00,0
2019-05-03 12:20:00,0
2019-05-03 12:25:00,0
2019-05-03 12:30:00,0
2019-05-03 12:35:00,0
2019-05-03 12:40:00,0
2019-05-03 12:45:00,0
2019-05-03 12:50:00,0
2019-05-03 12:55:00,0
2019-05-03 13:00:00,0
2019-05-03 13:05:00,0
2019-05-03 13:10:00,0
2019-05-03 13:15:00,0
2019-05-03 13:20:00,0
2019-05-03 13:25:00,0
2019-05-03 13:30:00,0
2019-05-03 13:35:00,0
2019-05-03 13:40:00,0
2019-05-03 13:45:00,0
2019-05-03 13:50:00,0
2019-05-03 13:55:00,0
2019-05-03 14:00:00,0
2019-05-03 14:05:00,0
2019-05-03 14:10:00,0
2019-05-03 14:15:00,0
2019-05-03 14:20:00,0
2019-05-03 14:25:00,0
2019-05-03 14:30:00,0
2019-05-03 14:35:00,0
2019-05-03 14:40:00,0
2019-05-03 14:45:00,0
2019-05-03 14:50:00,0
2019-05-03 14:55:00,0
2019-05-03 15:00:00,0
2019-05-03 15:05:00,0
2019-05-03 15:10:00,0
2019-05-03 15:15:00,0
2019-05-03 15:20:00,0
2019-05-03 15:25:00,0
2019-05-03 15:30:00,0
2019-05-03 15:35:00,0
2019-05-03 15:40:00,0
2019-05-03 15:45:00,0
2019-05-03 15:50:00,0
2019-05-03 15:55:00,0
2019-05-03 16:00:00,0
2019-05-03 16:05:00,0
2019-05-03 16:10:00,0
2019-05-03 16:15:00,0
2019-05-03 16:20:00,0
2019-05-03 16:25:00,0
2019-05-03 16:30:00,0
2019-05-03 16:35:00,0
2019-05-03 16:40:00,0
2019-05-03 16:45:00,0
2019-05-03 16:50:00,0
2019-05-03 16:55:00,0
2019-05-03 17:00:00,0
2019-05-03 17:05:00,0
2019-05-03 17:10:00,0
2019-05-03 17:15:00,0
2019-05-03 17:20:00,0
2019-05-03 17:25:00,0
2019-05-03 17:30:00,0
2019-05-03 17:35:00,0
2019-05-03 17:40:00,3
2019-05-03 17:45:00,0
2019-05-03 17:50:00,0
2019-05-03 17:55:00,0
2019-05-03 18:00:00,0
2019-05-03 18:05:00,0
2019-05-03 18:10:00,0
2019-05-03 18:15:00,45
2019-05-03 18:20:00,105
2019-05-03 18:25:00,36
2019-05-03 18:30:00,17
